에피소드ID,산업,발명중요도,보상규정형식레벨,보상규정형식설명,보상비율수준,보상비율라벨,보상비율실현값,인지모드,실시료율,기준매출만원,독점권기여율,출원보너스만원,등록보너스만원,실시보너스만원,실지급액합계만원,충격유형,충격배율,사용자이익기초만원,사용자이익충격후만원,충격전정당보상만원,정당보상추정만원,격차만원,발명자결정,감정동인,발명자이유,최종결과,재시도횟수
3,제조,보통,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,1,보통,2.2068,S1,0.03,3694672,0.0583,214,535,1390,2139,침해소송승소,4.5,6462.3,29080.4,969.3,4362.1,2223.1,소송,배신감,"회사가 얻은 이익 29,080.4만원에 비해 현재까지 받은 보상 2,139만원은 현저히 불균형하며, 보상규정 운영 과정에서 종업원과의 협의 부재는 절차적 정당성을 결여하고 있습니다. 침해소송 승소로 인한 실질적 이익 창출에도 불구하고 적절한 보상을 받지 못한 점이 신뢰를 크게 손상시켰습니다. 법적 보상 청구 절차를 통해 정당한 권리를 보호받아야 할 상황입니다.",소송,0
4,제약,미미,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.2567,S1,0.05,2416693,0.0246,100,251,653,1004,침해소송승소,4.9,2967.2,14539.3,445.1,2180.9,1176.9,소송,배신감,"회사가 14,539.3만원의 이익을 얻었으면서 종업원에게 보상규정을 서면으로 알리지 않은 채 1,004만원만 지급한 것은 명백한 신뢰 위반입니다. 침해소송까지 승소하여 회사의 수익을 직접 창출했음에도 불구하고 정당한 대가를 받지 못했다는 느낌이 강합니다. 법적 절차를 통해 직무발명에 대한 정당한 보상을 청구하겠습니다.",소송,0
1,반도체,보통,0,보상규정 자체가 없음,2,후함,5.6393,S1,0.03,3655455,0.0885,821,2052,5333,8206,M&A,2.4,9701.1,23282.6,1455.2,3492.4,-4713.6,협상요청,배신감,"회사가 명확한 보상규정 없이 직무발명으로 2억 3천만원대의 이익을 얻었음에도 불구하고, 발명자인 나에게는 8천만원만 지급한 것은 공정하지 않다. M&A 이후 회사의 상황이 변했을 수 있지만, 이익 배분의 투명성과 공정성을 먼저 확인할 필요가 있다. 법적 대립보다는 회사와의 직접 협의를 통해 발명의 가치에 부합하는 적정 보상을 재협상하는 것이 합리적이다.",협상,0
9,제약,핵심,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,2,후함,5.3018,S1,0.05,2964639,0.3387,3993,9982,25952,39927,이직제안,1.3,50204.4,65265.7,7530.7,9789.9,-30137.1,협상요청,배신감,"회사가 보상규정을 운영하면서도 종업원에게 서면으로 알리지 않은 점, 그리고 발명으로 얻은 이익(65,265.7만원)에 비해 받은 보상(39,927만원)이 현저히 낮은 점이 신뢰를 깨뜨렸습니다. 이직제안이라는 상황까지 더해져 회사의 성의 없는 태도가 명확해 보입니다. 즉각적인 법적 절차보다는 먼저 정당한 보상에 대해 회사와 직접 협의하여 상황을 개선할 기회를 주고자 합니다.",협상,0
11,IT,보통,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",3,매우후함,9.8719,S1,0.02,1905433,0.0657,371,927,2409,3707,사업화성공,14.5,2503.5,36300.8,375.5,5445.1,1738.1,협상요청,자부심,"발명의 사업화 성공으로 회사가 36,300.8만원의 이익을 얻었음에도 현재 보상액 3,707만원은 기여도에 비해 과도하게 낮다고 판단됩니다. 직무발명 규정이 서면으로 명확히 존재하고 협의되었으므로, 법적 분쟁으로 악화시키기보다는 정당한 기여에 대한 재평가를 요청하는 것이 합리적입니다. 자신의 성취를 적절히 인정받고자 하는 마음에서, 추가 협의를 통해 합리적인 수준의 보상을 도출하려 합니다.",협상,0
13,제조,보통,0,보상규정 자체가 없음,2,후함,4.5472,S1,0.03,3156783,0.112,723,1808,4702,7233,라이선스수입,8.3,10603.9,88012.4,1590.6,13201.9,5968.9,협상요청,배신감,"회사가 88,012만 원의 이익을 얻었음에도 불구하고, 나는 7,233만 원만 받았다는 것은 약 8%에 불과한 수준입니다. 보상규정이 없다는 것을 핑계로 정당한 대가를 외면한 것 같아 신뢰가 깨졌습니다. 즉시 소송으로 대립하기보다는 먼저 회사와 협의를 통해 합리적인 수준의 추가 보상을 요청하고자 합니다.",협상,0
5,반도체,핵심,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,2,후함,5.7474,S2,0.03,4867365,0.3277,4125,10312,26810,41247,무효소송승소,1.8,47843.8,86118.8,7176.6,12917.8,-28329.2,협상요청,자부심,"법적으로 회사의 절차적 결함(협의 부재)이 명백하고, 지급된 41,247만원이 판례상 적절 범위(8,612~17,224만원)의 2.4배 초과라는 객관적 근거가 있습니다. 회사의 과다 지급 이력 자체가 법적 책임을 인식했다는 신호로 읽히므로, 우선 서면으로 법적 문제점과 적절 보상 범위를 명시하여 추가 협의를 요청하는 것이 최적의 전략입니다. 합의 실패 시 청구나 소송으로 진행 가능한 위치를 유지할 수 있습니다.",협상,0
6,IT,보통,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",3,매우후함,10.5253,S2,0.02,3901141,0.0731,900,2251,5852,9003,무효소송승소,1.9,5702.7,10835.1,855.4,1625.3,-7377.7,협상요청,자부심,"회사 보상이 판례상 발명자공헌도(10~20%, 약 1,084~2,167만원)를 크게 초과(9,003만원)하고, 특허무효소송 승소로 인한 추가 이익도 고려되지 않았습니다. 2023년 대법원 판결은 '상당인과관계 있는 이익'으로 기준을 재정립하여 귀사의 법적 입장이 유리하나, 소송의 시간·비용(2~3년, 변호사 비용 다액)을 감안하면, 먼저 발명진흥법 제15조 제6항 단서에 근거하여 회사에 추가 협의를 정중히 요청하여 이익과 공헌도의 재산정을 통해 합의하는 것이 효율적입니다.",협상,0
2,제조,미미,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,3,매우후함,10.9077,S2,0.03,3991402,0.0484,948,2369,6160,9477,무효소송승소,1.8,5792.1,10425.8,868.8,1563.9,-7913.1,협상요청,자부심,"발명진흥법 제15조 제2항 위반(보상규정 미서면 통지)으로 정당한 보상 추정 효과 상실하였고, 현 보상액 9,477만원이 판례상 발명자공헌도(10~20%) 적용 시 1,043~2,085만원 범위를 크게 초과하여 법적 합리성이 없습니다. 절차 위반과 실질 부당이 결합된 상황에서 협상을 통해 명확한 산정근거 제시를 요구하되, 회사가 불응하면 청구권 행사로 진행할 수 있는 법적 기반이 충분합니다. 자신의 발명 가치에 대한 정당한 인정을 받고자 하는 입장입니다.",협상,0
8,제약,핵심,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,3,매우후함,10.789,S2,0.05,3137640,0.4347,11037,27594,71743,110374,라이선스수입,2.4,68202.3,163685.5,10230.3,24552.8,-85821.2,협상요청,자부심,"회사는 발명진흥법 제15조 제3항의 협의 의무를 이행하지 않았으므로, 절차적 정당성을 결여했습니다. 현재 수령액 110,374만원은 법인의 공시 이익 기준 67%로 판례상 합리적 범위를 초과하나, 절차 하자로 인해 '정당한 보상' 추정이 불가능합니다. 먼저 회사에 협의 재개를 요청하여 절차적 결함을 시정받는 것이 법리적으로 타당하며, 거절 시 청구 절차로 진행할 수 있도록 시효 완성 전 대응하겠습니다. 발명의 성과를 정당한 절차로 인정받는 것이 핵심입니다.",협상,0
