에피소드ID,산업,발명중요도,보상규정형식레벨,보상규정형식설명,보상비율수준,보상비율라벨,보상비율실현값,인지모드,실시료율,기준매출만원,독점권기여율,출원보너스만원,등록보너스만원,실시보너스만원,실지급액합계만원,충격유형,충격배율,사용자이익기초만원,사용자이익충격후만원,충격전정당보상만원,정당보상추정만원,격차만원,발명자결정,감정동인,발명자이유,최종결과,재시도횟수
4,제약,미미,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.2567,S1,0.05,2416693,0.0246,100,251,653,1004,침해소송승소,4.9,2967.2,14539.3,445.1,2180.9,1176.9,청구,배신감,"회사 공시 기준 이익 14,539.3만원 대비 내가 받은 1,004만원은 현저히 낮습니다. 보상규정이 있으나 서면 통지가 없었다면 규정의 공정성 추정이 성립하지 않아 추가 보상을 요구할 근거가 충분합니다. 이 발명으로 회사가 침해소송에서 승소해 실질 이익이 확정된 만큼 보상 재산정이 필요합니다. 즉시 법적 보상 청구 절차를 개시해 정당한 몫을 확보하겠습니다.",청구,0
3,제조,보통,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,1,보통,2.2068,S1,0.03,3694672,0.0583,214,535,1390,2139,침해소송승소,4.5,6462.3,29080.4,969.3,4362.1,2223.1,협상요청,배신감,"회사가 이 발명으로 공시상 29,080.4만원의 이익을 얻었는데, 내가 받은 2,139만원은 상대적으로 과소하다고 느낍니다. 보상규정의 작성·변경 과정에서 종업원과 협의가 없었다는 점도 절차상 공정성에 의문을 줍니다. 내 발명으로 침해소송에서까지 승소한 만큼 정당한 인정과 보상을 받고 싶어 우선 추가 협의를 공식 요청합니다. 협의로 합리적 조정이 되지 않으면 법적 절차도 검토하겠습니다.",협상,0
6,IT,보통,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",3,매우후함,10.5253,S2,0.02,3901141,0.0731,900,2251,5852,9003,무효소송승소,1.9,5702.7,10835.1,855.4,1625.3,-7377.7,수용,자부심,"회사는 보상규정의 서면고지·협의·서면통지를 모두 이행하여 발명진흥법 제15조 제2~4항을 충족했고, 원칙적으로 제6항의 적정보상 추정이 작동합니다. IT 분야에서의 합리적 실시료율(대법원 2014다220347: 2% 사례)과 발명자 공헌도 10~20%를 참작하면 통상 보상범위는 회사 이익 10,835.1만원 대비 1,084~2,167만원인데, 기지급 9,003만원은 이를 크게 상회합니다. 무효소송 승소는 독점권 기여율을 높이는 유리 사정이지만(대법원 2014다220347, 2023다237514), 이미 지급액이 회사 이익의 약 83%에 달해 추가 청구의 실익이 희박하고, 분쟁 시 시간·비용 부담에 비해 기대이익이 크지 않습니다. 따라서 추가 분쟁 없이 현재 보상을 수용하는 것이 합리적입니다.",수용,0
2,제조,미미,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,3,매우후함,10.9077,S2,0.03,3991402,0.0484,948,2369,6160,9477,무효소송승소,1.8,5792.1,10425.8,868.8,1563.9,-7913.1,수용,자부심,"제조업에서 특허 무효소송 승소로 사용자 이익(10,425.8만원)은 인정되며, 보상규정 미고지는 발명진흥법 제15조 제6항의 적정보상 추정을 배제할 뿐 추가보상을 곧바로 정당화하지는 않습니다. 대법원 기준(실시료율 2~3%, 발명자 공헌도 10~20%, 2023다237514의 ‘상당인과관계 있는 이익’ 고려)으로 통상 발명자 몫은 약 1,043~2,085만원 수준입니다. 이미 수령한 9,477만원은 이 상한을 현저히 초과하여 추가 청구·소송의 실익이 작고, 시간·비용 부담이 큽니다. 따라서 불확실성 최소화와 관계 유지를 위해 현 보상을 수용하는 것이 합리적입니다.",수용,0
8,제약,핵심,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,3,매우후함,10.789,S2,0.05,3137640,0.4347,11037,27594,71743,110374,라이선스수입,2.4,68202.3,163685.5,10230.3,24552.8,-85821.2,수용,자부심,"제약 산업에서 본 발명은 라이선스 수입으로 사용자 이익이 현실화되었고(대법원 2023다237514 취지상 ‘상당인과관계 있는 이익’), 공지·무효 항변 위험은 낮습니다. 다만 회사는 보상규정 협의 의무(제15조 3항)를 지키지 않아 제15조 6항의 면책은 곧장 적용되지 않지만, 회사 공시 이익 163,685.5만원에 판례상 발명자 공헌도 10~20%만 적용해도 16,369~32,737만원 수준이고 제가 이미 110,374만원을 수령했습니다. LG생명과학·정보통신 판결의 산정 흐름을 감안해도 추가 증액 여지는 낮아 협상·청구·소송의 시간·비용 대비 기대이익이 미미합니다. 따라서 현 보상을 수용하는 것이 합리적이며, 분쟁을 피하면서 성과에 대한 보상이 충분히 이루어진 상태입니다.",수용,0
7,IT,중요,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.8635,S2,0.02,4340731,0.2199,820,2050,5331,8201,라이선스수입,7.2,19092.5,137466.0,2863.9,20619.9,12418.9,청구,자부심,"IT 분야에서 라이선스수입이 발생해 발명과 상당인과관계 있는 사용자 이익(137,466만원)이 인정되고, 회사가 보상규정을 서면으로 고지하지 않아 법 제15조 제6항의 면책추정도 적용되기 어렵습니다. 판례상 공헌도 10~20%를 적용하면 합리적 범위는 13,747~27,493만원인데 실제 수령액은 8,201만원으로 현저히 부족합니다. 공지기술 항변이 입증되면 면책 여지가 있으나 특허 무효사유 등은 주로 기여율에 반영될 뿐이며, 소송은 2~3년 소요와 변호사비 부담이 커 즉시 제기 실익이 낮습니다. 우선 법 제15조에 근거한 추가 보상을 공식 청구(사내·조정)하여 합의를 모색하고, 불성립이거나 10년 소멸시효 임박 시 소송 전환이 합리적입니다.",청구,0
9,제약,핵심,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,2,후함,5.3018,S1,0.05,2964639,0.3387,3993,9982,25952,39927,이직제안,1.3,50204.4,65265.7,7530.7,9789.9,-30137.1,수용,자부심,"회사 공시 기준 이익 약 6.5억 중 이미 약 4억을 보상받아, 회사 이익 대비 상당한 수준의 보상입니다. 보상규정을 서면으로 알리지 않은 점은 협상 여지이지만, 현 시점에서 추가 법적 분쟁의 실익이 크지 않다고 판단합니다. 이직 제안도 있어 갈등을 키우지 않고 관계를 정리하며 다음 단계에 집중하겠습니다.",수용,0
1,반도체,보통,0,보상규정 자체가 없음,2,후함,5.6393,S1,0.03,3655455,0.0885,821,2052,5333,8206,M&A,2.4,9701.1,23282.6,1455.2,3492.4,-4713.6,청구,배신감,"회사가 보상규정 없이 제 직무발명을 사용했고, M&A로 창출한 회사 이익(공시 기준)에 비해 제가 받은 금액이 현저히 부족하다고 느낍니다. M&A로 승계된 회사도 보상 의무를 지므로, 법이 보장하는 직무발명 보상 청구 절차를 바로 시작하겠습니다. 사용이익, 제 공헌도, 공동발명 지분 등을 반영해 정당한 추가보상을 객관적으로 산정·요구하겠습니다. 신뢰가 깨진 만큼 합의가 불성실하면 후속 소송도 염두에 두겠습니다.",청구,0
5,반도체,핵심,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,2,후함,5.7474,S2,0.03,4867365,0.3277,4125,10312,26810,41247,무효소송승소,1.8,47843.8,86118.8,7176.6,12917.8,-28329.2,수용,자부심,"반도체 분야 특성상 판례상 실시료율(정보통신 2%, 제약 3%)과 발명자 공헌도 10~20%가 적용되어 통상 보상 범위가 제한됩니다(2009다75178, 2014다220347). 회사는 보상규정을 서면 통지했으나 협의 절차가 없어 제15조 제6항의 안전장치는 약하나, 무효소송 승소는 독점효를 인정하는 사정일 뿐 자동 가산사유는 아닙니다(2014다220347, 2023다237514). 회사 이익 86,118.8만원 대비 기수령 41,247만원(약 4.8%)은 통상 법원 산정치(실시료율×발명자 공헌도 기준)를 현저히 상회하여 추가 법적 청구의 실익이 낮습니다. 청구·소송은 수개월~수년과 변호사 비용이 드는 반면 기대 이익이 작아 현재 보상을 수용하는 것이 합리적입니다.",수용,0
13,제조,보통,0,보상규정 자체가 없음,2,후함,4.5472,S1,0.03,3156783,0.112,723,1808,4702,7233,라이선스수입,8.3,10603.9,88012.4,1590.6,13201.9,5968.9,청구,배신감,"회사에 보상규정이 없고, 발명으로 발생한 라이선스 수입에 비해 내가 받은 보상이 현저히 부족하다고 느낍니다. 공시된 회사 이익이 88,012.4만원인데 내 보상은 7,233만원으로 합리적 수준에 미달합니다. 규정 부재 시에는 법정 기준에 따른 직무발명 보상 청구가 가능하고, 라이선스 수익으로 산정이 비교적 명확합니다. 따라서 감정에 휘둘리지 않고 법적 보상 청구 절차를 개시해 정당한 몫을 바로잡겠습니다.",청구,0
